coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0031942289074596,0.0026092535230006
1,C_lq_m_ll11,1,-0.0010959664463142,0.0011722934869868
2,C_lu_ll11,1,-0.0025511574526112,0.0047914813885733
3,C_eu_ll11,1,-0.0014594418342195,0.0016706873802822
4,C_qe_11ll,1,-0.0028047987507155,0.0059104073121044
5,C_ld_ll11,1,-0.0102714239710503,0.0062110646294111
6,C_ed_ll11,1,-0.0104579059468284,0.0046284721672007
7,C_lq_p_ll22,1,-0.034513423367014,0.0199473457774061
8,C_lq_m_ll22,1,-0.0249628030790605,0.0411045967020268
9,C_lu_ll22,1,-0.0300857463314125,0.0364360200745838
10,C_eu_ll22,1,-0.0270574839316242,0.0393068888915279
11,C_qe_22ll,1,-0.0198049634337606,0.0232802694277197
12,C_ld_ll22,1,-0.0300768907769068,0.0263094053358622
13,C_ed_ll22,1,-0.0313857675218686,0.0241525018650251
14,C_lq_p_ll33,1,-0.1443709279358243,0.1258291127933214
15,C_qe_33ll,1,-0.1337132019083471,0.1377954438435222
16,C_ld_ll33,1,-0.1378829021205518,0.1336213411822555
17,C_ed_ll33,1,-0.1398564629828537,0.131442894911753
