coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0056345070731461,0.0041397186547367
1,C_lq_m_ll11,1,-0.0015984955231129,0.0017810127405697
2,C_lu_ll11,1,-0.0047022062739382,0.0045847535441932
3,C_eu_ll11,1,-0.0021010509174893,0.0025973888752866
4,C_qe_11ll,1,-0.0051018299580683,0.0051397251719308
5,C_ld_ll11,1,-0.011080382321391,0.0100811514291757
6,C_ed_ll11,1,-0.0120262678121792,0.0067529879401601
7,C_lq_p_ll22,1,-0.0371143482346638,0.0301462238073007
8,C_lq_m_ll22,1,-0.0391025286710301,0.0446293589566064
9,C_lu_ll22,1,-0.0421568473357868,0.044308641558015
10,C_eu_ll22,1,-0.040488986932286,0.0446756455758569
11,C_qe_22ll,1,-0.0295966630071286,0.0299005302252444
12,C_ld_ll22,1,-0.0403895613301209,0.0406385414094419
13,C_ed_ll22,1,-0.0369987049006349,0.0335204782761173
14,C_lq_p_ll33,1,-0.1885255142475579,0.1757663373227504
15,C_qe_33ll,1,-0.1844244000055613,0.1872613416393074
16,C_ld_ll33,1,-0.1873377648224883,0.184325984899261
17,C_ed_ll33,1,-0.1882090100554929,0.1822757338224983
