coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0018767377062152,0.001734919159425
1,C_lq_m_ll11,1,-0.0007345014204487,0.0007510010626188
2,C_lu_ll11,1,-0.0013714535327981,0.0015737602298089
3,C_eu_ll11,1,-0.0009926961793995,0.0010455593879108
4,C_qe_11ll,1,-0.0016890785623557,0.0024923482726965
5,C_ld_ll11,1,-0.0084998806991117,0.0042598179421604
6,C_ed_ll11,1,-0.0052855720885451,0.0034000472857537
7,C_lq_p_ll22,1,-0.0250294265849161,0.0140293378906369
8,C_lq_m_ll22,1,-0.0191766713815842,0.0344829983049062
9,C_lu_ll22,1,-0.0262452719714091,0.0345170315495898
10,C_eu_ll22,1,-0.0219517397366857,0.0360104072109391
11,C_qe_22ll,1,-0.0166275051618737,0.0215644886808202
12,C_ld_ll22,1,-0.0273103111650568,0.0216802241433008
13,C_ed_ll22,1,-0.029654375741442,0.0197923975285692
14,C_lq_p_ll33,1,-0.1272196749196047,0.0875204138777595
15,C_qe_33ll,1,-0.1051680853613839,0.1145512782606404
16,C_ld_ll33,1,-0.1147257332417563,0.1050014105643079
17,C_ed_ll33,1,-0.1190062760913135,0.0999422618301791
