coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_m_mumu11,1,-0.0011114411977032,0.0011580110234441
1,C_lq_p_mumu11,1,-0.0029357914760404,0.0026121522398994
2,C_qe_11mumu,1,-0.0027335584442791,0.0042043572427127
3,C_lu_mumu11,1,-0.0023125510772918,0.002827328048797
4,C_eu_mumu11,1,-0.001492565803259,0.0016260500389966
5,C_ld_mumu11,1,-0.0105258001533445,0.0064592539072583
6,C_ed_mumu11,1,-0.0085804420592481,0.0049088457531567
7,C_lq_p_mumu22,1,-0.0317507156216214,0.0197551909890523
8,C_qe_22mumu,1,-0.0225556143887108,0.0269951001502837
9,C_ld_mumu22,1,-0.0346339680383579,0.0294352796098444
10,C_ed_mumu22,1,-0.036133946791612,0.0266473929105825
11,C_lq_m_mumu22,1,-0.0275102440124435,0.0421084236811747
12,C_lu_mumu22,1,-0.0351809058765009,0.0425078211056543
13,C_eu_mumu22,1,-0.0306898532485349,0.0434275804534439
14,C_lq_p_mumu33,1,-0.1606858958643803,0.1152235275843504
15,C_qe_33mumu,1,-0.1363840675964669,0.1469963106254473
16,C_ld_mumu33,1,-0.1473043735235575,0.1360643983232714
17,C_ed_mumu33,1,-0.1520513090897578,0.1301473802479031
18,C_lq_m_ee11,1,-0.0011795741735924,0.0012243607052476
19,C_lq_p_ee11,1,-0.0030422908229513,0.0027206868447571
20,C_qe_11ee,1,-0.0027926258724987,0.0046837240795545
21,C_lu_ee11,1,-0.0023764576739282,0.0029819754932635
22,C_eu_ee11,1,-0.0015842731601029,0.0017194808760831
23,C_ld_ee11,1,-0.0113651332749886,0.006582311849786
24,C_ed_ee11,1,-0.008855605883219,0.0051272511803577
25,C_lq_p_ee22,1,-0.0331611653767283,0.0198735250901543
26,C_qe_22ee,1,-0.0230682835102265,0.0283545202998605
27,C_ld_ee22,1,-0.0362072291344128,0.0300536284041091
28,C_ed_ee22,1,-0.0380454260035087,0.027170927619864
29,C_lq_m_ee22,1,-0.0278922810842511,0.0448664907395245
30,C_lu_ee22,1,-0.036242048386222,0.0448227109425509
31,C_eu_ee22,1,-0.0312966956388511,0.0461902590621545
32,C_lq_p_ee33,1,-0.1673048993097755,0.1158865343906425
33,C_qe_33ee,1,-0.1386519971129424,0.1506831752418491
34,C_ld_ee33,1,-0.1509612123789075,0.1383633254726327
35,C_ed_ee33,1,-0.1565034441122674,0.1318718507701325
