coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_m_mumu11,1,-0.0008948496220578,0.000916637099156
1,C_lq_p_mumu11,1,-0.0022557299293995,0.0020721569746153
2,C_qe_11mumu,1,-0.0020247368985926,0.0031441237791675
3,C_lu_mumu11,1,-0.0016650573194858,0.0019476980574038
4,C_eu_mumu11,1,-0.0012075592093815,0.0012788716262195
5,C_ld_mumu11,1,-0.0098180213554698,0.0050106432882219
6,C_ed_mumu11,1,-0.0064866453265889,0.004021997432133
7,C_lq_p_mumu22,1,-0.0281796595949007,0.0159103926729064
8,C_qe_22mumu,1,-0.0189988889637719,0.0245982946812877
9,C_ld_mumu22,1,-0.0310917871005237,0.0246766540277621
10,C_ed_mumu22,1,-0.0338098682580864,0.0225066348878848
11,C_lq_m_mumu22,1,-0.0221567479151707,0.0391764952743742
12,C_lu_mumu22,1,-0.0302013925429584,0.0394629536247882
13,C_eu_mumu22,1,-0.0253255714892524,0.0410071691491679
14,C_lq_p_mumu33,1,-0.1428890268780416,0.09601712224952
15,C_qe_33mumu,1,-0.116488944675359,0.1275293065630123
16,C_ld_mumu33,1,-0.1277757556698852,0.1162504627482292
17,C_ed_mumu33,1,-0.1328929057398819,0.1103458156070174
18,C_lq_m_ee11,1,-0.0010255443627597,0.0010521293601319
19,C_lq_p_ee11,1,-0.0025812557403759,0.0023579024143812
20,C_qe_11ee,1,-0.0024049354994761,0.0041310891909629
21,C_lu_ee11,1,-0.0020191918599874,0.0024684799462515
22,C_eu_ee11,1,-0.0013820943127,0.0014709030694982
23,C_ld_ee11,1,-0.0109269156189107,0.0057860658588515
24,C_ed_ee11,1,-0.0074429951263557,0.0045394321300134
25,C_lq_p_ee22,1,-0.0308672947129642,0.0177198034747828
26,C_qe_22ee,1,-0.0210844916365936,0.0268109817476543
27,C_ld_ee22,1,-0.0339610364148525,0.027393321714974
28,C_ed_ee22,1,-0.0364568332629286,0.0248008596572078
29,C_lq_m_ee22,1,-0.0249845281765321,0.0429981215996591
30,C_lu_ee22,1,-0.0334142132206934,0.0428490747035751
31,C_eu_ee22,1,-0.0283438909100689,0.0445237886773357
32,C_lq_p_ee33,1,-0.1555898813377123,0.1055901818701253
33,C_qe_33ee,1,-0.1271786203647822,0.1388681659164792
34,C_ld_ee33,1,-0.1391270411402201,0.1269130450855483
35,C_ed_ee33,1,-0.1445972315183091,0.1206985742358671
